Tick;Step;DateTime;Age;Alive;AmountToSpawn;ConsumptionRate;Fruit;GrowRate;LifePoints;MatureAge;MaxAge;Name;ProductionRate;SpreadRate;State;Wood;X;Y;ID
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;1086;0.1;100;3650;123370;BrazilNutTree;1;0.0003;Juvenile;17367;115;4;21dee1f6-5fa6-41b4-854f-8ca15bfebaf9
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;2431;0.1;100;3650;158775;BrazilNutTree;1;0.0003;Juvenile;11473;72;6;6691e914-4f0c-4a7b-86ec-0211c0afa102
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;4085;1;100;2920;14965;NutmegTree;1.3;0.0002;Juvenile;9497;116;9;1df25458-0e9e-4e2e-a7f3-2faf26a16b54
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;381;0.5;100;1825;9490;PalmTree;0.6;0.0001;Juvenile;744;60;1;c69088d3-fc26-40c6-bf5d-f66c9b11a32d
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;139;0.5;100;1825;7300;PalmTree;0.6;0.0001;Juvenile;778;39;3;41e50a0b-e588-4c8f-9eb0-86a2e390f8fa
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;2745;0.1;100;3650;156950;BrazilNutTree;1;0.0003;Juvenile;12400;49;6;8335d51d-a61f-4eb2-805f-2cb5ffb275c1
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;661;0.5;100;1825;5840;PalmTree;0.6;0.0001;Juvenile;364;68;0;d9948068-13ab-4117-9b31-263bffc2bdf8
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;412;0.5;100;1825;8030;PalmTree;0.6;0.0001;Juvenile;999;11;3;c77dad67-dbde-4b79-8b97-be7047a593bb
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;4765;0.1;100;3650;162425;BrazilNutTree;1;0.0003;Juvenile;6933;28;5;91a81130-5368-4984-a4b9-e88711733107
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;3527;0.1;100;3650;97820;BrazilNutTree;1;0.0003;Juvenile;14712;4;4;8af87922-c143-43cb-b839-3408cf73e490
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;4320;0.1;100;3650;133955;BrazilNutTree;1;0.0003;Juvenile;13738;59;4;306b838f-ebe5-40c1-be69-ceb0054237bd
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;4322;0.1;100;3650;179215;BrazilNutTree;1;0.0003;Juvenile;12970;88;4;21d6c620-8c37-4acb-ad79-3a39a89805e2
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;521;0.5;100;1825;5475;PalmTree;0.6;0.0001;Juvenile;967;112;0;6c194640-f7e5-413b-a351-aad649d8b11d
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;717;0.5;100;1825;7665;PalmTree;0.6;0.0001;Juvenile;760;62;1;c864e2cf-edc7-4840-95bc-2ffe9077b174
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;3155;0.1;100;3650;157315;BrazilNutTree;1;0.0003;Juvenile;609;11;6;43dc4d89-0eff-43d9-af7e-24d0934ccf58
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;0.8;1082;0.1;100;3650;136875;BrazilNutTree;1;0.0003;Juvenile;6640;95;5;95b06659-8020-4028-8a30-f6f1bd6b633a
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;873;0.5;100;1825;6570;PalmTree;0.6;0.0001;Juvenile;73;33;2;321e32aa-b9e0-4262-acf2-76883a4f4718
0;0;2022-01-01T11:00:00.0000000+01:00;1;True;365;1;5770;1;100;2920;14600;NutmegTree;1.3;0.0002;Juvenile;6648;15;7;33f44325-b788-4ebd-ac12-ee36c1947ee1
